created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,,,,,,,,,,,,,,,
Sat Aug 05 19:10:22 +0000 2023,1.6879E+18,@AndiSinulingga Anis gagal pd pendaftaran capres/ cawapres krn PT tdk terpenuhi sbb salahsatu PARTAY keluar dr kpp. Kasihan memang.,0,0,0,0,in,1.09702E+18,1.68768E+18,Tintus05913441,https://twitter.com/Tintus05913441/status/1687903892095508480,,,,,,,,,,,,,,,
Sat Aug 05 19:10:19 +0000 2023,1.6879E+18,Gibran Rakabuming tolak wacana  jadi capres https://t.co/0cNBxQ1ixR,0,0,0,0,in,1.56446E+18,1.6879E+18,CelinaDeema,https://twitter.com/CelinaDeema/status/1687903881144291328,,,,,,,,,,,,,,,
Sat Aug 05 19:09:49 +0000 2023,1.6879E+18,Gibran Rakabuming tolak wacana  jadi capres https://t.co/6wW6Ij14ZT,0,0,0,0,in,1.56446E+18,1.6879E+18,DavinaDeema,https://twitter.com/DavinaDeema/status/1687903755419926528,,,,,,,,,,,,,,,
Sat Aug 05 19:07:24 +0000 2023,1.6879E+18,@EdgardoMulatoSV En la asamblea legislativa hay muchos,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 19:07:03 +0000 2023,1.6879E+18,"@pengarang_sajak Ganjar selalu ngomong jgn serang capres lain blablabla.. tp buzzer²nya ttp aja tuh.. nga mau dengerin bossnya ngomong atau emang udh arahan di boss biar ttp plan A sekalipun sy ngomong B yaa..""""",0,1,1,2,in,2695241484,1.68786E+18,bigjoe_july15,https://twitter.com/bigjoe_july15/status/1687903057974288384,,,,,,,,,,,,,,,
Sat Aug 05 19:03:14 +0000 2023,1.6879E+18,Katanya capres si @Dennysiregar7  dan s @Miduk17  😂😂😂,0,0,0,1,in,1.60379E+18,1.6879E+18,ardika_rasya,https://twitter.com/ardika_rasya/status/1687902098099433472,,,,,,,,,,,,,,,
Sat Aug 05 19:02:32 +0000 2023,1.6879E+18,@FPKSDPRRI @aniesbaswedan Guru cukup jadi capres aja ya. Presiden nya tetap @ganjarpranowo,0,0,0,1,in,1.21938E+18,1.68737E+18,Penjahat_santun,https://twitter.com/Penjahat_santun/status/1687901923222114304,,,,,,,,,,,,,,,
Sat Aug 05 19:00:44 +0000 2023,1.6879E+18,Inilah.. Capres yg dekat dgn rakyat Capres yg bekerja keras utk rakyat Capres yg tau kebutuhan rakyat   🥰🥰,0,0,0,1,in,1.5388E+18,1.6879E+18,srudukkwati,https://twitter.com/srudukkwati/status/1687901467448152064,,,,,,,,,,,,,,,
Sat Aug 05 18:53:29 +0000 2023,1.6879E+18,@QianzyZ @ntar_yaa Yang korupsi genk kalian kok. Sejak keciduk korupsi yg 8 triliun,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 18:50:14 +0000 2023,1.6879E+18,ERICKTHOHIRNEWS|  Pengamat: Jokowi Cawe-Cawe karena Ingin Punya Saham dalam Pemenangan Capres 2024 | BangkitBersamaET  https://t.co/ORNHpBKaqS,0,0,0,0,in,1.66853E+18,1.6879E+18,Berita_ET,https://twitter.com/Berita_ET/status/1687898825242050560,,,,,,,,,,,,,,,
